Date,Open,High,Low,Close,Volume
2014-09-25,89.55,89.68,89.48,89.53,34073.0
2014-09-24,89.48,89.95,89.4,89.92,41435.0
2014-09-23,90.22,90.27,89.74,89.83,79927.0
2014-09-22,90.35,90.39,90.1,90.13,54171.0
2014-09-19,91.06,91.07,90.6,90.84,33338.0
2014-09-18,90.73,90.94,90.67,90.83,28172.0
2014-09-17,90.69,90.96,90.24,90.36,127242.0
2014-09-16,90.37,90.66,90.14,90.66,221790.0
2014-09-15,89.79,90.09,89.79,89.98,48609.0
2014-09-12,89.77,89.92,89.61,89.62,97154.0
2014-09-11,90.4,90.4,89.94,90.0,75001.0
2014-09-10,90.58,90.94,90.52,90.93,60668.0
2014-09-09,90.25,90.7,90.16,90.63,203788.0
2014-09-08,91.13,91.14,90.57,90.61,63348.0
2014-09-05,91.37,91.43,91.29,91.38,35132.0
2014-09-04,91.66,91.76,91.42,91.43,10678.0
2014-09-03,91.1,91.45,91.03,91.31,49993.0
2014-09-02,91.16,91.16,90.94,90.96,18120.0
2014-08-29,91.75,91.93,91.43,91.47,25668.0
2014-08-28,91.53,91.72,91.53,91.68,58244.0
2014-08-27,91.27,91.81,91.21,91.6,66062.0
2014-08-26,90.78,90.84,90.69,90.79,25363.0
2014-08-25,90.59,90.65,90.54,90.55,23926.0
2014-08-22,90.83,90.93,90.71,90.85,49858.0
2014-08-21,90.81,90.87,90.79,90.85,11874.0
2014-08-20,90.91,90.97,90.64,90.65,37429.0
2014-08-19,91.11,91.12,90.81,90.86,29932.0
2014-08-18,91.29,91.36,91.29,91.36,32664.0
2014-08-15,91.51,91.51,91.07,91.3,63855.0
2014-08-14,91.15,91.22,91.14,91.19,19433.0
2014-08-13,91.03,91.12,90.91,91.08,44721.0
2014-08-12,90.93,91.1,90.84,91.03,82392.0
2014-08-11,90.72,91.05,90.72,91.05,33476.0
2014-08-08,90.63,90.74,90.54,90.63,51591.0
2014-08-07,91.01,91.11,90.94,91.05,25332.0
2014-08-06,90.8,91.11,90.8,91.11,74731.0
2014-08-05,90.85,90.87,90.59,90.71,44371.0
2014-08-04,91.05,91.17,91.03,91.15,96684.0
2014-08-01,91.14,91.34,90.98,90.98,74260.0
2014-07-31,91.1,91.38,91.1,91.22,55066.0
2014-07-30,91.29,91.38,91.1,91.22,106470.0
2014-07-29,91.94,91.94,91.54,91.58,60489.0
2014-07-28,92.0,92.09,91.97,92.07,33554.0
2014-07-25,92.41,92.42,91.92,91.96,115666.0
2014-07-24,92.65,92.66,92.51,92.53,17925.0
2014-07-23,92.72,92.72,92.55,92.69,35944.0
2014-07-22,92.6,92.66,92.53,92.61,28715.0
2014-07-21,92.54,92.7,92.5,92.67,18787.0
2014-07-18,92.63,92.66,92.59,92.65,50310.0
2014-07-17,92.58,92.6,92.42,92.42,26181.0
2014-07-16,92.36,92.72,92.03,92.53,135365.0
2014-07-15,92.69,92.71,92.33,92.43,82922.0
2014-07-14,92.62,92.85,92.6,92.79,45044.0
2014-07-11,92.94,92.94,92.6,92.64,63148.0
2014-07-10,93.17,93.4,93.17,93.39,16543.0
2014-07-09,93.18,93.41,93.18,93.28,94311.0
2014-07-08,93.11,93.27,93.09,93.11,59825.0
2014-07-07,93.45,93.49,93.09,93.15,73336.0
2014-07-03,92.78,93.6,92.78,93.59,7160.0
2014-07-02,93.39,93.39,93.18,93.2,56867.0
2014-07-01,93.36,93.61,93.27,93.61,85224.0
2014-06-30,93.11,93.37,93.11,93.2,43493.0
2014-06-27,93.07,93.29,93.05,93.27,64853.0
2014-06-26,92.86,93.09,92.75,93.0,74442.0
2014-06-25,92.7,92.78,92.7,92.75,29019.0
2014-06-24,92.65,92.65,92.55,92.56,31173.0
2014-06-23,92.65,92.73,92.59,92.72,46070.0
2014-06-20,92.41,92.51,92.3,92.5,69753.0
2014-06-19,91.88,91.93,91.8,91.88,52361.0
2014-06-18,91.52,91.69,91.41,91.69,26360.0
2014-06-17,91.54,91.65,91.49,91.55,20058.0
2014-06-16,91.51,91.78,91.51,91.72,64254.0
2014-06-13,91.56,91.62,91.49,91.61,43805.0
2014-06-12,91.56,91.71,91.56,91.6,22758.0
2014-06-11,91.43,91.54,91.43,91.52,12145.0
2014-06-10,91.21,91.21,91.08,91.2,20899.0
2014-06-09,91.04,91.22,91.04,91.16,33862.0
2014-06-06,90.84,90.98,90.84,90.98,61293.0
2014-06-05,90.96,91.05,90.73,90.99,47321.0
2014-06-04,91.05,91.05,90.77,90.92,67571.0
2014-06-03,91.08,91.14,91.04,91.12,9581.0
2014-06-02,91.29,91.3,91.18,91.25,71226.0
2014-05-30,91.7,91.77,91.52,91.73,31100.0
2014-05-29,91.56,91.85,91.55,91.79,47465.0
2014-05-28,91.6,91.6,91.37,91.44,16709.0
2014-05-27,91.73,91.73,91.44,91.58,39643.0
2014-05-23,91.43,91.54,91.38,91.48,20176.0
2014-05-22,91.13,91.33,91.08,91.27,30003.0
2014-05-21,91.05,91.11,90.9,91.1,29213.0
2014-05-20,91.21,91.3,91.09,91.23,37620.0
2014-05-19,91.56,91.62,91.45,91.52,19489.0
2014-05-16,91.42,91.6,91.38,91.58,31961.0
2014-05-15,91.41,91.45,91.33,91.42,20094.0
2014-05-14,91.18,91.47,91.17,91.38,25183.0
2014-05-13,91.29,91.32,91.03,91.17,27304.0
2014-05-12,91.34,91.41,91.24,91.26,63263.0
2014-05-09,91.23,91.33,91.17,91.26,82623.0
2014-05-08,91.48,91.95,91.4,91.89,64089.0
2014-05-07,91.33,91.35,91.17,91.29,21634.0
2014-05-06,91.19,91.44,91.14,91.41,81539.0
2014-05-05,90.55,90.81,90.55,90.79,14639.0
2014-05-02,90.54,90.9,90.51,90.55,42610.0
2014-05-01,90.53,90.76,90.49,90.72,50248.0
2014-04-30,90.72,90.9,90.6,90.76,43314.0
2014-04-29,90.61,90.83,90.61,90.8,34032.0
2014-04-28,90.24,90.25,90.1,90.21,32394.0
2014-04-25,90.22,90.27,90.05,90.14,23902.0
2014-04-24,90.22,90.22,90.13,90.2,37283.0
2014-04-23,90.04,90.22,89.97,90.16,55312.0
2014-04-22,90.37,90.38,90.09,90.18,94682.0
2014-04-21,90.16,90.31,90.15,90.27,60699.0
2014-04-17,90.43,90.5,90.29,90.3,18948.0
2014-04-16,90.61,90.67,90.17,90.24,62431.0
2014-04-15,90.32,90.62,90.32,90.6,22295.0
2014-04-14,90.73,90.84,90.65,90.79,43433.0
2014-04-11,90.68,90.78,90.59,90.59,29049.0
2014-04-10,91.1,91.32,90.99,90.99,284376.0
2014-04-09,90.92,91.58,90.92,91.46,187655.0
2014-04-08,91.0,91.18,90.85,91.04,76464.0
2014-04-07,90.43,90.72,90.4,90.64,76296.0
2014-04-04,90.56,90.7,90.5,90.57,285300.0
2014-04-03,90.2,90.36,90.03,90.11,53278.0
2014-04-02,90.15,90.2,90.05,90.1,24608.0
2014-04-01,90.04,90.24,89.97,90.13,58111.0
2014-03-31,90.22,90.3,89.94,89.98,36016.0
2014-03-28,90.03,90.07,89.79,89.91,26148.0
2014-03-27,89.76,90.22,89.76,90.16,58290.0
2014-03-26,89.04,89.75,89.03,89.73,152178.0
2014-03-25,88.95,89.15,88.86,89.13,42177.0
2014-03-24,88.65,88.89,88.6,88.81,38286.0
2014-03-21,88.89,88.89,88.62,88.71,50353.0
2014-03-20,88.27,88.52,88.2,88.44,104617.0
2014-03-19,88.96,89.14,88.22,88.41,160892.0
2014-03-18,89.99,90.02,89.21,89.29,117093.0
2014-03-17,89.75,90.01,89.75,89.96,24005.0
2014-03-14,89.66,89.77,89.56,89.61,37377.0
2014-03-13,89.9,90.0,89.82,89.95,50121.0
2014-03-12,89.33,89.62,89.22,89.44,65698.0
2014-03-11,89.56,89.79,89.51,89.56,33252.0
2014-03-10,89.55,89.6,89.49,89.56,62319.0
2014-03-07,89.78,89.79,89.58,89.65,58291.0
2014-03-06,90.44,90.75,90.42,90.47,72401.0
2014-03-05,89.75,90.15,89.53,90.08,203636.0
2014-03-04,89.84,89.84,89.43,89.59,30985.0
2014-03-03,89.73,89.77,89.6,89.73,20117.0
2014-02-28,89.67,90.06,89.62,89.8,56709.0
2014-02-27,89.31,89.31,89.14,89.28,25548.0
2014-02-26,89.63,89.64,89.22,89.35,67566.0
2014-02-25,89.81,89.82,89.62,89.7,59244.0
2014-02-24,89.77,89.95,89.71,89.87,33342.0
2014-02-21,89.19,89.49,89.15,89.32,106644.0
2014-02-20,89.72,89.83,89.47,89.6,89894.0
2014-02-19,90.3,90.33,89.7,89.72,138054.0
2014-02-18,90.72,90.89,90.64,90.83,60699.0
2014-02-14,90.58,90.67,90.5,90.53,24409.0
2014-02-13,90.27,90.78,90.27,90.58,68312.0
2014-02-12,90.48,90.52,90.38,90.43,57029.0
2014-02-11,89.87,90.36,89.86,90.28,182602.0
2014-02-10,89.95,90.09,89.93,89.94,54512.0
2014-02-07,90.43,90.56,90.06,90.08,90172.0
2014-02-06,89.5,89.92,89.48,89.82,73194.0
2014-02-05,89.53,89.91,89.43,89.73,70487.0
2014-02-04,89.76,89.95,89.67,89.76,68297.0
2014-02-03,89.94,90.02,89.5,89.6,83444.0
2014-01-31,88.73,89.65,88.7,89.27,112432.0
2014-01-30,89.09,89.18,88.96,89.05,65635.0
2014-01-29,89.39,89.42,88.97,88.98,66606.0
2014-01-28,89.05,89.22,89.02,89.12,95455.0
2014-01-27,90.06,90.09,89.46,89.46,154846.0
2014-01-24,89.75,89.9,89.65,89.8,129707.0
2014-01-23,89.38,89.62,89.05,89.59,246519.0
2014-01-22,90.65,90.69,89.66,89.67,391762.0
2014-01-21,90.67,90.68,90.52,90.62,120945.0
2014-01-17,90.78,90.84,90.53,90.59,123437.0
2014-01-16,91.1,91.17,90.96,91.01,117718.0
2014-01-15,90.79,91.04,90.72,90.83,110013.0
2014-01-14,91.13,91.16,90.75,90.81,161423.0
2014-01-13,91.39,91.69,91.37,91.68,98450.0
2014-01-10,90.93,91.35,90.86,91.2,197725.0
2014-01-09,91.59,91.7,91.43,91.61,227695.0
2014-01-08,92.02,92.12,91.9,92.02,133736.0
2014-01-07,92.76,92.83,92.22,92.29,285365.0
2014-01-06,93.13,93.44,93.13,93.34,29880.0
2014-01-03,93.61,93.74,93.44,93.44,76126.0
2014-01-02,93.71,93.86,93.12,93.14,74972.0
2013-12-31,93.56,93.65,93.43,93.61,72328.0
