Date,Open,High,Low,Close,Volume
2015-04-28,128.17,128.74,127.26,127.29,7464325.0
2015-04-27,129.07,129.5,128.37,129.07,4334926.0
2015-04-24,128.64,129.43,128.59,129.07,4773030.0
2015-04-23,127.8,128.85,127.61,128.27,6843409.0
2015-04-22,129.5,129.55,127.54,127.72,9707563.0
2015-04-21,130.23,130.45,129.56,129.7,4563763.0
2015-04-20,130.94,131.01,129.93,130.29,4949441.0
2015-04-17,129.77,131.7,129.7,131.45,7268774.0
2015-04-16,130.83,130.86,129.41,129.96,7085505.0
2015-04-15,131.05,131.27,130.32,130.61,4425222.0
2015-04-14,131.31,131.86,130.48,130.72,6075465.0
2015-04-13,129.53,129.98,129.39,129.8,4010619.0
2015-04-10,130.32,130.45,129.55,129.62,4842983.0
2015-04-09,130.87,130.92,129.13,129.43,6484206.0
2015-04-08,131.02,131.36,130.02,131.13,5378896.0
2015-04-07,130.23,131.22,129.85,131.09,4764948.0
2015-04-06,131.43,131.48,129.72,130.0,5923761.0
2015-04-02,131.93,131.97,130.61,130.73,6663396.0
2015-04-01,131.33,132.48,131.3,132.13,9273941.0
2015-03-31,130.24,130.96,129.91,130.69,6844288.0
2015-03-30,130.9,131.0,130.09,130.41,7010587.0
2015-03-27,130.03,131.13,129.98,131.06,7907909.0
2015-03-26,131.05,131.14,129.18,129.45,9536292.0
2015-03-25,132.72,132.76,131.46,131.5,5635768.0
2015-03-24,131.83,132.64,131.48,132.62,6713032.0
2015-03-23,131.7,131.75,130.99,131.35,5555506.0
2015-03-20,131.22,131.7,131.14,131.51,5953751.0
2015-03-19,131.2,131.62,130.27,130.82,9543795.0
2015-03-18,129.91,131.53,128.61,131.49,13981903.0
2015-03-17,128.55,129.11,128.28,129.0,6313964.0
2015-03-16,127.94,128.15,127.27,127.94,6374608.0
2015-03-13,126.76,127.59,126.49,126.72,7247189.0
2015-03-12,128.2,128.2,126.72,127.11,10295863.0
2015-03-11,126.26,127.46,126.12,127.2,6663085.0
2015-03-10,125.97,126.44,125.76,126.28,9277945.0
2015-03-09,124.68,124.87,124.13,124.64,8889065.0
2015-03-06,124.67,124.83,122.97,123.5,20022904.0
2015-03-05,126.53,126.88,125.9,126.29,6044998.0
2015-03-04,126.94,127.04,126.16,126.45,6478887.0
2015-03-03,126.89,127.37,126.38,126.41,8599004.0
2015-03-02,129.0,129.07,126.77,126.87,11323970.0
2015-02-27,129.02,129.62,128.27,129.53,9225087.0
2015-02-26,129.7,130.3,128.4,128.45,11020500.0
2015-02-25,129.46,130.38,129.08,130.23,8019820.0
2015-02-24,127.65,129.79,127.18,129.67,11958343.0
2015-02-23,127.19,128.17,127.16,127.99,7500542.0
2015-02-20,127.05,128.01,126.0,126.54,12502546.0
2015-02-19,126.78,127.44,126.17,126.17,8584765.0
2015-02-18,126.82,127.74,126.47,127.01,14009187.0
2015-02-17,127.8,127.93,125.92,126.26,14968830.0
2015-02-13,129.51,129.53,128.09,128.19,8325223.0
2015-02-12,129.66,130.54,129.45,129.52,12548329.0
2015-02-11,129.7,130.27,128.96,129.95,6506362.0
2015-02-10,130.14,130.47,129.44,129.71,8290732.0
2015-02-09,131.97,131.98,130.75,130.75,8025546.0
2015-02-06,132.05,132.35,130.59,130.96,13685553.0
2015-02-05,134.0,134.23,133.11,133.32,8334585.0
2015-02-04,133.49,134.99,133.12,134.8,11360416.0
2015-02-03,135.65,135.79,134.37,134.57,14008703.0
2015-02-02,136.7,137.92,136.66,137.48,13689942.0
2015-01-30,137.71,138.5,137.18,138.28,14871221.0
2015-01-29,136.12,136.67,135.46,135.87,8881399.0
2015-01-28,134.75,137.41,134.7,136.77,12230298.0
2015-01-27,135.73,136.13,134.15,134.57,8079582.0
2015-01-26,134.84,135.19,134.05,134.36,5966478.0
2015-01-23,134.3,135.12,134.15,134.77,7334591.0
2015-01-22,134.0,134.18,132.28,132.92,10200015.0
2015-01-21,135.2,135.58,132.96,133.4,9803896.0
2015-01-20,134.13,135.11,134.07,134.96,7758724.0
2015-01-16,134.33,134.68,133.03,133.19,9390473.0
2015-01-15,132.85,135.03,132.68,134.91,11454237.0
2015-01-14,133.72,134.12,132.7,132.82,12324546.0
2015-01-13,131.39,132.61,131.14,131.82,8260840.0
2015-01-12,131.0,132.31,130.92,131.82,6658148.0
2015-01-09,129.2,131.11,129.04,131.07,9398821.0
2015-01-08,130.36,130.37,129.42,129.65,8055253.0
2015-01-07,130.7,131.97,130.17,131.39,9762919.0
2015-01-06,130.7,132.49,130.19,131.65,18331287.0
2015-01-05,128.01,129.63,127.96,129.32,9789519.0
2015-01-02,126.29,127.66,126.15,127.32,9431997.0
2014-12-31,125.7,126.16,125.65,125.92,4993301.0
2014-12-30,125.98,126.21,125.53,125.68,4372557.0
2014-12-29,124.91,125.66,124.81,125.34,4070721.0
2014-12-26,124.55,124.59,124.02,124.41,2921323.0
2014-12-24,123.06,124.06,122.93,123.95,4871374.0
2014-12-23,125.45,125.6,123.49,123.54,7406146.0
2014-12-22,125.45,126.19,125.32,126.04,4118783.0
2014-12-19,124.58,125.95,124.44,125.87,7894461.0
2014-12-18,124.93,125.1,124.2,124.2,12758214.0
2014-12-17,126.91,127.19,125.7,126.45,11558786.0
2014-12-16,127.36,127.72,126.36,127.6,7426434.0
2014-12-15,125.64,126.7,125.43,126.04,9387414.0
2014-12-12,125.45,126.35,125.02,126.3,9317388.0
2014-12-11,123.74,124.61,123.29,124.61,7863455.0
2014-12-10,123.18,124.4,123.08,124.1,6439191.0
2014-12-09,123.6,123.97,122.96,123.2,6639727.0
2014-12-08,121.42,122.84,121.14,122.57,6021774.0
2014-12-05,121.57,121.6,120.52,121.09,8030737.0
2014-12-04,120.75,121.8,120.62,121.8,4250485.0
2014-12-03,120.3,120.8,120.13,120.79,4868551.0
